Model,Fusion Type,Accuracy,F1-Score,Precision,Recall,ECE,Parameters (M),Latency (ms),Memory (MB)
Early Fusion CNN,Input-level,65.16666666666666,61.36995227722477,71.62586094544912,65.19797287283797,0.20076364278793335,6.057036,18.630130290985107,36.2138671875
Mid Fusion MLP,Feature-level (MLP),96.625,96.62783459351682,96.72259348408954,96.64997986856672,0.027390874922275543,13.70138,19.313254356384277,89.978515625
Decision Ensemble,Decision-level,96.5,96.50116036794638,96.51770746886213,96.54661754514476,0.02873515896499157,12.122932,19.77006196975708,137.10595703125
MAFT (No Dropout),Feature-level (Transformer),96.75,96.75386911589366,96.77335680293665,96.79628614120904,0.026743900030851364,32.443801,25.29977560043335,263.287109375
MAFT v3.1 (Ours),Feature-level (Transformer + Dropout),97.0,97.01603141752419,97.11954498205152,97.10603507223948,0.010927168652415276,32.448281,26.54087543487549,389.59423828125
